#
# Exported poll results from Less Wrong
# Columns: user, pollid, response, date
# user is either a username or a number (if the 'voted anonymously' button was
# checked). Anonymous user numbers are shared between poll questions asked in a
# single comment, but not between comments.
# pollid is a site-wide unique identifier of the poll.
# response is the user's answer to the poll. For multiple-choice polls, this is
# the index of their choice, starting at zero. For scale polls, this is the
# distance of their choice from the left, starting at zero. For probability and
# numeric polls, this is a number.
#
"DubiousTwizzler","462","0","2013-07-17T23:02:48.860113"
"1","462","0","2013-07-13T04:46:34.821582"
"2","462","0","2013-06-29T17:17:15.988833"
"3","462","0","2013-06-29T04:52:56.387574"
"4","462","0","2013-06-10T19:33:57.390126"
"5","462","0","2013-06-08T20:03:39.026346"
"6","462","0","2013-06-08T19:56:59.097515"
"mcallisterjp","462","2","2013-05-30T16:55:11.191232"
"7","462","0","2013-05-24T19:26:59.719539"
"8","462","2","2013-05-23T19:07:16.024292"
"iconreforged","462","0","2013-05-23T13:24:45.107738"
"9","462","0","2013-05-16T05:07:24.146262"
"10","462","0","2013-05-16T04:44:36.790131"
"11","462","0","2013-05-16T01:07:29.823898"
"12","462","0","2013-05-15T21:56:50.312012"
"13","462","0","2013-05-15T21:29:25.130235"
"14","462","0","2013-05-14T14:50:33.123961"
"15","462","0","2013-05-14T13:04:42.353942"
"16","462","0","2013-05-14T02:45:57.383802"
"17","462","0","2013-05-13T21:28:38.343500"
"18","462","0","2013-05-13T18:52:08.227673"
"19","462","0","2013-05-13T01:39:25.551224"
"ChristianKl","462","0","2013-05-12T12:06:22.346617"
"TeMPOraL","462","0","2013-05-11T22:51:40.509759"
"20","462","0","2013-05-11T20:02:13.817992"
"21","462","0","2013-05-11T12:26:03.895615"
"22","462","0","2013-05-11T01:05:23.296728"
"oooo","462","0","2013-05-10T22:01:54.320635"
"Emile","462","0","2013-05-10T16:06:40.071678"
"23","462","0","2013-05-10T06:59:01.845901"
"24","462","0","2013-05-10T04:27:05.130446"
"25","462","0","2013-05-10T03:17:43.469745"
"26","462","0","2013-05-09T20:16:43.000503"
"moridinamael","462","0","2013-05-09T19:48:59.356529"
"27","462","0","2013-05-09T17:38:52.550800"
"28","462","0","2013-05-09T02:53:54.994759"
"29","462","0","2013-05-09T00:59:37.124256"
"30","462","0","2013-05-08T22:45:31.891029"
"Eneasz","462","0","2013-05-08T22:11:12.488679"
"31","462","0","2013-05-08T20:49:13.875810"
"32","462","0","2013-05-08T20:42:13.235552"
"33","462","0","2013-05-08T19:40:04.679059"
"aleksiL","462","0","2013-05-08T18:10:03.647192"
"34","462","1","2013-05-08T18:00:15.014331"
"35","462","0","2013-05-08T17:02:13.920133"
"36","462","0","2013-05-08T15:23:27.943617"
"37","462","2","2013-05-08T15:15:15.246284"
"38","462","0","2013-05-08T15:08:52.297502"
"39","462","0","2013-05-08T15:03:41.740349"
"TodesBrot","462","0","2013-05-08T14:57:45.381212"
"Oscar_Cunningham","462","0","2013-05-08T14:42:14.493942"
"khafra","462","0","2013-05-08T14:00:22.712806"
"40","462","0","2013-05-08T13:08:52.378825"
"41","462","0","2013-05-08T11:08:49.935113"
"ArisKatsaris","462","0","2013-05-08T10:45:59.526255"
"42","462","0","2013-05-08T10:13:49.663900"
"43","462","0","2013-05-08T09:48:03.459408"
"44","462","0","2013-05-08T08:27:12.212659"
"45","462","0","2013-05-08T07:26:11.768388"
"46","462","0","2013-05-08T06:07:45.253042"
"Qiaochu_Yuan","462","0","2013-05-08T05:55:59.365581"
"47","462","0","2013-05-08T05:44:50.030624"
"48","462","1","2013-05-08T05:14:28.816299"
"49","462","0","2013-05-08T04:32:10.087050"
"rejuvyesh","462","1","2013-05-08T03:59:46.366772"
"50","462","0","2013-05-08T03:53:25.117337"
"51","462","0","2013-05-08T02:45:51.532004"
"52","462","0","2013-05-08T01:49:44.390628"
"ahartell","462","0","2013-05-08T01:23:27.008711"
"53","462","0","2013-05-08T01:07:04.543461"
"54","462","0","2013-05-08T00:40:39.967512"
"55","462","0","2013-05-08T00:22:30.250868"
"56","462","0","2013-05-08T00:02:15.776471"
"57","462","0","2013-05-07T23:47:33.785158"
"58","462","0","2013-05-07T23:04:43.970585"
"59","462","0","2013-05-07T23:00:02.335084"
"60","462","0","2013-05-07T22:53:48.713585"
"61","462","0","2013-05-07T22:28:15.200383"
"Sniffnoy","462","0","2013-05-07T22:21:05.485893"
"62","462","2","2013-05-07T22:05:34.568243"
"Vaniver","462","1","2013-05-07T21:45:16.626713"
"moreati","462","0","2013-05-07T21:25:28.248637"
"63","462","0","2013-05-07T21:16:30.329002"
"64","462","0","2013-05-07T20:58:52.200370"
"quanticle","462","0","2013-05-07T20:23:56.174753"
"nicdevera","462","1","2013-05-07T20:16:24.244329"
"65","462","0","2013-05-07T20:16:11.693225"
"66","462","0","2013-05-07T20:14:37.048879"
"toner","462","0","2013-05-07T20:03:22.718059"
"67","462","0","2013-05-07T19:37:09.324998"
"68","462","0","2013-05-07T19:34:00.632411"
"arundelo","462","0","2013-05-07T19:33:07.928383"
"69","462","0","2013-05-07T19:31:25.700382"
"James_Miller","462","0","2013-05-07T19:28:25.351301"
"70","462","0","2013-05-07T19:25:26.550295"
"71","462","0","2013-05-07T19:22:21.984904"
"72","462","0","2013-05-07T19:16:17.539899"
"73","462","0","2013-05-07T19:15:33.321594"
"74","462","0","2013-05-07T19:13:08.611205"
"abramdemski","462","0","2013-05-07T19:11:40.603738"
"75","462","0","2013-05-07T19:08:33.147013"
"76","462","0","2013-05-07T19:08:10.737646"
"gwern","462","2","2013-05-07T19:04:51.856903"
"Kaj_Sotala","462","0","2013-05-07T19:02:07.511777"
"DubiousTwizzler","463","0","2013-07-17T23:02:49.064364"
"1","463","0","2013-07-13T04:46:35.532062"
"2","463","0","2013-06-29T17:17:16.341328"
"3","463","0","2013-06-29T04:52:56.808165"
"4","463","1","2013-06-10T19:33:57.957954"
"5","463","0","2013-06-08T20:03:39.170809"
"6","463","0","2013-06-08T19:56:59.664691"
"mcallisterjp","463","1","2013-05-30T16:55:12.053938"
"7","463","0","2013-05-24T19:27:00.328396"
"8","463","0","2013-05-23T19:07:16.415120"
"iconreforged","463","1","2013-05-23T13:24:45.635366"
"9","463","0","2013-05-16T05:07:24.582667"
"10","463","0","2013-05-16T04:44:36.975048"
"11","463","0","2013-05-16T01:07:29.968405"
"12","463","0","2013-05-15T21:56:50.458273"
"13","463","0","2013-05-15T21:29:25.562806"
"14","463","0","2013-05-14T14:50:33.489855"
"15","463","0","2013-05-14T13:04:42.906947"
"16","463","1","2013-05-14T02:45:57.755064"
"17","463","0","2013-05-13T21:28:39.760692"
"18","463","1","2013-05-13T18:52:08.437015"
